Season,Round,Region Number,Region Name,Seed,Score,School,School,Score,Seed,,,
1995-1996,3,3,East,2,98,georgetown,texas-tech,90,3,,,
1995-1996,3,4,Midwest,1,101,kentucky,utah,70,4,,,
1995-1996,3,4,Midwest,2,60,wake-forest,louisville,59,6,,,
1995-1996,4,1,Southeast,5,73,mississippi-state,cincinnati,63,2,,,
1995-1996,4,2,West,4,60,syracuse,kansas,57,2,,,
1995-1996,4,3,East,1,86,massachusetts,georgetown,62,2,,,
1995-1996,4,4,Midwest,1,83,kentucky,wake-forest,63,2,,,
1995-1996,5,1,Final Four,5,69,mississippi-state,syracuse,77,4,,,
1995-1996,5,2,Final Four,1,74,massachusetts,kentucky,81,1,,,
1995-1996,6,1,Championship,4,67,syracuse,kentucky,76,1,,,
1996-1997,1,1,West,1,92,kentucky,montana,54,16,,,
1996-1997,1,1,West,2,75,utah,navy,61,15,,,
1996-1997,1,1,West,3,68,wake-forest,saint-mary's-(ca),46,14,,,
1996-1997,1,1,West,4,75,saint-joseph's,pacific,65,13,,,
1996-1997,1,1,West,5,73,boston-college,valparaiso,66,12,,,
1996-1997,1,1,West,6,80,stanford,oklahoma,67,11,,,
1996-1997,1,1,West,7,79,charlotte,georgetown,67,10,,,
1996-1997,1,1,West,8,73,iowa,virginia,60,9,,,
1996-1997,1,2,Midwest,1,78,minnesota,texas-southern,46,16,,,
1996-1997,1,2,Midwest,2,109,ucla,charleston-southern,75,15,,,
1996-1997,1,2,Midwest,3,86,cincinnati,butler,69,14,,,
1996-1997,1,2,Midwest,4,68,clemson,miami-(oh),56,13,,,
1996-1997,1,2,Midwest,5,81,tulsa,boston-university,58,12,,,
1996-1997,1,2,Midwest,6,69,iowa-state,illinois-state,57,11,,,
1996-1997,1,2,Midwest,7,80,xavier,vanderbilt,68,10,,,
1996-1997,1,2,Midwest,8,40,mississippi,temple,62,9,,,
1996-1997,1,3,East,1,82,north-carolina,fairfield,74,16,,,
1996-1997,1,3,East,2,65,south-carolina,coppin-state,78,15,,,
1996-1997,1,3,East,3,59,new-mexico,old-dominion,55,14,,,
1996-1997,1,3,East,4,101,villanova,long-island-university,91,13,,,
1996-1997,1,3,East,5,55,california,princeton,52,12,,,
1996-1997,1,3,East,6,65,louisville,massachusetts,57,11,,,
1996-1997,1,3,East,7,58,wisconsin,texas,71,10,,,
1996-1997,1,3,East,8,62,indiana,colorado,80,9,,,
1996-1997,1,4,Southeast,1,78,kansas,jackson-state,64,16,,,
1996-1997,1,4,Southeast,2,71,duke,murray-state,68,15,,,
1996-1997,1,4,Southeast,3,70,georgia,chattanooga,73,14,,,
1996-1997,1,4,Southeast,4,65,arizona,south-alabama,57,13,,,
1996-1997,1,4,Southeast,5,66,maryland,college-of-charleston,75,12,,,
1996-1997,1,4,Southeast,6,90,illinois,southern-california,77,11,,,
1996-1997,1,4,Southeast,7,59,marquette,providence,81,10,,,
1996-1997,1,4,Southeast,8,83,purdue,rhode-island,76,9,,,
1996-1997,2,1,West,1,75,kentucky,iowa,69,8,,,
1996-1997,2,1,West,2,77,utah,charlotte,58,7,,,
1996-1997,2,1,West,3,66,wake-forest,stanford,72,6,,,
1996-1997,2,1,West,4,81,saint-joseph's,boston-college,77,5,,,
1996-1997,2,2,Midwest,1,76,minnesota,temple,57,9,,,
1996-1997,2,2,Midwest,2,96,ucla,xavier,83,7,,,
1996-1997,2,2,Midwest,3,66,cincinnati,iowa-state,67,6,,,
1996-1997,2,2,Midwest,4,65,clemson,tulsa,59,5,,,
1996-1997,2,3,East,1,73,north-carolina,colorado,56,9,,,
1996-1997,2,3,East,15,81,coppin-state,texas,82,10,,,
1996-1997,2,3,East,3,63,new-mexico,louisville,64,6,,,
